1 [139871637666880] INFO perfrun.launcher <> - Launcher main begin
1 [139871637666880] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [139871637666880] INFO perfrun.launcher <> - Launcher instance created
1 [139871637666880] INFO perfrun.launcher <> - argc = 6; cmdline = /home/ariel/intel/oneapi/advisor/2025.1/bin64/advixe-runss --ui-output-format xml --ui-output-fd 177 --context-value-list 
30 [139871637666880] INFO perfrun.launcher <> - create msngr2::ICliToolContext
31 [139871637666880] INFO perfrun.launcher <> - create file finder object
33 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
33 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
33 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 167
33 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
33 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
34 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = false
34 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
34 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
34 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
34 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
34 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = true
35 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
35 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
35 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
35 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
36 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
36 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
36 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
36 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
36 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
37 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
37 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 5.15.167.4-microsoft-standard-WSL2
37 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
37 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
38 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
38 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
38 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = Microsoft Hv
38 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 0
39 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
39 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
39 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
40 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
40 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
40 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPDriverAvailable; value = false
41 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPMICDriverAvailable; value = false
41 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isNMIWatchDogTimerRunning; value = false
41 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU_NAME; value = Unknown
41 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU; value = Unknown
41 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PMU; value = Unknown
41 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = platformType; value = 0
41 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = referenceFrequency; value = 3072000000
42 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
42 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
42 [139871637666880] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
42 [139871637666880] INFO perfrun.launcher <> - Application exit code: 0
42 [139871637666880] INFO perfrun.launcher <> - Exit code: 0
