YDF Fisher-Yates,per-proj. nnz=3,trees=50,7 repeats,-1 depth,Intel(R) Core(TM) Ultra 9 185H,1 thread(s)
n,128,256,512,1024,2048,4096
128,0.0125,0.0453,0.0213,0.0126,0.0276,0.0224
256,0.0634,0.1012,0.1520,0.0562,0.1357,0.0533
512,0.4871,0.4066,0.1124,0.2633,0.3079,0.1163
1024,1.4705,0.2087,0.1218,0.6672,0.7883,0.8173
