posterior,index
0.418905,0
0.472748,1
0.436615,2
0.474686,3
0.475535,4
0.26318,5
0.332431,6
0.460086,7
0.442952,8
0.428876,9
0.469883,10
0.189879,11
0.0807042,12
0.425399,13
0.418661,14
0.230093,15
0.401586,16
0.429487,17
0.39667,18
0.421093,19
0.367008,20
0.206748,21
0.230135,22
0.119078,23
0.0949705,24
0.0849805,25
0.305389,26
0.231419,27
0.378258,28
0.123815,29
0.0662382,30
0.127813,31
0.356686,32
0.11981,33
0.319777,34
0.435656,35
0.455255,36
0.07702,37
0.0509627,38
0.0558493,39
0.0730367,40
0.0527538,41
0.0746758,42
0.0534246,43
0.0701648,44
0.0576752,45
0.127745,46
0.101521,47
0.212073,48
0.0553562,49
0.111313,50
0.0452648,51
0.0555915,52
0.0770061,53
0.094216,54
0.401348,55
0.106778,56
0.0626787,57
0.0515121,58
0.198396,59
0.136929,60
0.0769739,61
0.0519714,62
0.0528838,63
0.0473639,64
0.073983,65
0.159207,66
0.0782325,67
0.129749,68
0.0536806,69
0.0893859,70
0.0892029,71
0.0904425,72
0.191605,73
0.146181,74
0.193025,75
0.0654065,76
0.15667,77
0.0591472,78
0.0853108,79
0.0550311,80
0.255292,81
0.0857243,82
0.0652442,83
0.0877647,84
0.14117,85
0.0707335,86
0.096051,87
0.0641362,88
0.059239,89
0.0700512,90
0.142392,91
0.0731496,92
0.473621,93
0.339145,94
0.215111,95
0.314061,96
0.251978,97
0.116947,98
0.0785176,99
0.0677785,100
0.286497,101
0.0683825,102
0.0559027,103
0.249022,104
0.0539062,105
0.327107,106
0.180418,107
0.0708144,108
0.0609387,109
0.0603688,110
0.129887,111
0.0785728,112
0.0577913,113
0.0715231,114
0.103246,115
0.0555847,116
0.0696936,117
0.0469471,118
0.0645474,119
0.0568475,120
0.0695082,121
0.0809809,122
0.0567268,123
0.0508726,124
0.0491282,125
0.056857,126
0.0495977,127
0.0509234,128
0.0515927,129
0.0747795,130
0.0942182,131
0.0764055,132
0.0529391,133
0.0838514,134
0.11016,135
0.0486846,136
0.0594087,137
0.0650479,138
0.0468392,139
0.046649,140
0.0527837,141
0.193682,142
0.0908611,143
0.0926998,144
0.0549889,145
0.0585178,146
0.121158,147
0.0564532,148
0.0432384,149
0.183071,150
0.293732,151
0.0599964,152
0.203462,153
0.125473,154
0.0678039,155
0.0561518,156
0.0818875,157
0.0953392,158
0.0997837,159
0.0583539,160
0.298123,161
0.0873234,162
0.112242,163
0.100887,164
0.38915,165
0.0693324,166
0.121453,167
0.0529822,168
0.154735,169
0.465546,170
0.139305,171
0.212643,172
0.0874792,173
0.0660758,174
0.0601023,175
0.190809,176
0.403494,177
0.0822533,178
0.347548,179
0.210157,180
0.118762,181
0.285962,182
0.218042,183
0.078641,184
0.0748584,185
0.121898,186
0.0591275,187
0.0715445,188
0.0556528,189
0.441033,190
0.0542215,191
0.0684723,192
0.081623,193
0.171419,194
0.0583216,195
0.0570769,196
0.0584612,197
0.0877716,198
0.0992598,199
0.0629005,200
0.0828609,201
0.0565433,202
0.0491889,203
0.281789,204
0.0604663,205
0.224765,206
0.1779,207
0.3077,208
0.0671513,209
0.0924646,210
0.0721978,211
0.118834,212
0.0541142,213
0.0931762,214
0.0594575,215
0.171467,216
0.0509657,217
0.0812013,218
0.131069,219
0.452832,220
0.135517,221
0.0602019,222
0.0553904,223
0.072783,224
0.0749515,225
0.0484092,226
0.0640234,227
0.20161,228
0.0972923,229
0.0717618,230
0.0750279,231
0.146262,232
0.0967037,233
0.0932265,234
0.117283,235
0.123669,236
0.115052,237
0.235676,238
0.0707434,239
0.0478831,240
0.156139,241
0.0578304,242
0.0871944,243
0.0696275,244
0.061775,245
0.0527969,246
0.10305,247
0.0944363,248
0.0444961,249
0.0517534,250
0.063175,251
0.229024,252
0.0520446,253
0.0629684,254
0.178605,255
0.393448,256
0.303986,257
0.156644,258
0.099095,259
0.0992594,260
0.249775,261
0.172921,262
0.177016,263
0.0696505,264
0.166768,265
0.221857,266
0.0587548,267
0.0601799,268
0.142009,269
0.0648028,270
0.0923235,271
0.165432,272
0.0565687,273
0.0860648,274
0.130355,275
0.044895,276
0.0921894,277
0.0921986,278
0.354497,279
0.114372,280
0.105994,281
0.127783,282
0.093004,283
0.0569482,284
0.0709028,285
0.0570006,286
0.0931478,287
0.113651,288
0.0744551,289
0.106051,290
0.130678,291
0.0906206,292
0.133625,293
0.0512209,294
0.0533258,295
0.121652,296
0.0465526,297
0.101573,298
0.079747,299
0.0561314,300
0.38325,301
0.395063,302
0.203165,303
0.0946618,304
0.0666556,305
0.150499,306
0.448974,307
0.201693,308
0.467753,309
0.466548,310
0.408518,311
0.377211,312
0.452312,313
0.446961,314
0.411106,315
0.172296,316
0.368076,317
0.364152,318
0.417206,319
0.469744,320
0.460227,321
0.321771,322
0.308424,323
0.467356,324
0.305595,325
0.430991,326
0.162901,327
0.175261,328
0.145421,329
0.256568,330
0.40494,331
0.211813,332
0.149616,333
0.393428,334
0.139629,335
0.451157,336
0.165789,337
0.134922,338
0.148237,339
0.106489,340
0.0681921,341
0.317458,342
0.297438,343
0.288216,344
0.183977,345
0.165379,346
0.115185,347
0.110875,348
0.194866,349
0.276772,350
0.112361,351
