YDF RNG-generated,d variable,nnz=3,trees=50,7 repeats,-1 depth,<CPU>
n,128,256,512,1024,2048,4096
128,0.1166,0.1197,0.1210,0.1452,0.1844,0.2457
256,0.2856,0.2869,0.3280,0.3498,0.4621,0.6095
512,0.7442,0.7380,0.7732,0.8717,1.1204,1.4256
1024,1.6913,1.7218,1.7691,2.1655,2.7245,3.3968
2048,4.5834,4.2689,4.5587,5.1991,6.3404,8.2780
4096,10.6876,10.3934,12.1874,12.7200,15.6892,19.8478
8192,29.0921,29.0541,29.7043,32.8866,40.3573,57.0593
