YDF RNG-generated,d variable,nnz=3,trees=50,7 repeats,-1 depth,<CPU>
n,128,256,512,1024,2048,4096
128,0.9361,0.9201,0.9559,0.9565,1.0145,1.1765
256,2.6006,2.6071,2.6134,2.6937,2.8429,3.1640
512,7.2453,7.1096,7.0834,7.2955,7.5741,8.1970
1024,18.8104,19.1016,18.8884,19.2633,19.7234,21.0462
2048,51.4269,49.3463,49.5849,49.8422,50.7820,53.6096
