YDF RNG-generated,d variable,nnz=3,trees=50,7 repeats,-1 depth,<CPU>
n,128,256,512,1024,2048,4096
128,0.0102,0.0098,0.0116,0.0108,0.0131,0.0044
256,0.0177,0.0106,0.0170,0.0254,0.0185,0.0091
512,0.0162,0.0458,0.0288,0.0310,0.0393,0.0265
1024,0.0572,0.0619,0.0594,0.0960,0.1414,0.0404
2048,0.3519,0.2095,0.1708,0.1847,0.1874,0.1939
4096,0.6339,0.6090,0.8059,0.4015,0.3592,0.3872
8192,1.5596,1.3318,1.5214,0.8785,0.6807,1.3409
