tree,depth,nodes,Selecting Bootstrapped Samples,Initialization of FindBestCondOblique,SampleProjection,ApplyProjection,Bucket Allocation & Initialization=0,Filling & Finalizing the Buckets,SortFeature,ScanSplits,Post-processing after Training all Trees,EvaluateProjection,FillExampleBucketSet (next 3 calls),,  ,Parameter,Value
0,0,1,0.000329853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rows,4096
0,1,1,0.0,0.000116759,0.0214014,0.022407,4.4836e-05,0.005054922,0.26353997,0.077241111,0.0,0.353601,0.272997255,,,cols,4096
0,2,2,0.0,0.000136962,0.0421685,0.02476312,5.7377e-05,0.005119395,0.256086755,0.077126423,0.0,0.3510724,0.269627826,,,num_trees,10
0,3,4,0.0,0.000225045,0.0840181,0.02775306,0.00010933,0.005189749,0.250198297,0.076804437,0.0,0.35414673,0.271178898,,,tree_depth,-1
0,4,8,0.0,0.000402379,0.16847879999999998,0.031272649,0.000220673,0.005397018,0.246185991,0.076163552,0.0,0.3684658,0.28249084,,,proj_density_factor,3
0,5,12,0.0,0.000609753,0.2520717,0.037174693,0.000328049,0.00549598,0.223876034,0.07464194,0.0,0.36179658,0.273987647,,,max_projections,1
0,6,16,0.0,0.000794203,0.3369238,0.039470990000000004,0.000430682,0.005534748,0.214559566,0.073126433,0.0,0.36789616999999997,0.278212163,,,num_threads,1
0,7,14,0.0,0.000731352,0.29524469999999997,0.04153007,0.000385731,0.005300267,0.194844434,0.070836538,0.0,0.33902676,0.25333836,,,sort_method,SortFeature
0,8,16,0.0,0.000786187,0.3378643,0.049014942,0.000433018,0.005280898,0.171525833,0.069166126,0.0,0.32454283,0.238526009,,,cpu_model,Intel(R)_Core(TM)_Ultra_9_185H
0,9,22,0.0,0.001097757,0.4631373,0.057598274,0.000599632,0.005461812,0.159213474,0.067033214,0.0,0.33827318,0.249034737,,,repeat_index,1
0,10,34,0.0,0.001668473,0.721728,0.073339181,0.000922982,0.005975106,0.143951433,0.063409009,0.0,0.3764823,0.279715065,,,,
0,11,48,0.0,0.002362449,1.0141064,0.077849534,0.0012945860000000001,0.00615008,0.125528237,0.056437255,0.0,0.40969909,0.308147053,,,,
0,12,64,0.0,0.003008471,1.3538388,0.081758564,0.0017544,0.006426044,0.10972119,0.048926532,0.0,0.45514497,0.347863023,,,,
0,13,56,0.0,0.002715866,1.1827784,0.06642991,0.001530575,0.005235376,0.087806247,0.037717933,0.0,0.38216134,0.294151609,,,,
0,14,48,0.0,0.002366425,1.0170007,0.052020659999999996,0.001281891,0.004053064,0.061362325,0.026486574,0.0,0.30555285,0.236036905,,,,
0,15,36,0.0,0.001676453,0.760231,0.038867969,0.0009704480000000001,0.002909566,0.043072502,0.018733588,0.0,0.22461386,0.173831372,,,,
0,16,20,0.0,0.000943921,0.4248573,0.024920364,0.000539282,0.001871003,0.030448218,0.014287453,0.0,0.13804212,0.105500033,,,,
0,17,12,0.0,0.000599829,0.2523413,0.021215963,0.00032365,0.001378785,0.02497607,0.012152136,0.0,0.09421156,0.070918206,,,,
0,18,16,0.0,0.0007705020000000001,0.336931,0.02098924,0.000433567,0.001467345,0.021058012,0.009701029,0.0,0.105129,0.08045381,,,,
0,19,16,0.0,0.000743816,0.3361,0.016946984000000002,0.000434992,0.001210999,0.014483782,0.006114548,0.0,0.09297093,0.07256894,,,,
0,20,12,0.0,0.000578905,0.2528006,0.009712814,0.000323275,0.000714539,0.005777714,0.002681984,0.0,0.06104,0.048010009,,,,
0,21,8,0.0,0.000368598,0.1678634,0.00631651,0.000216353,0.000488408,0.004131844,0.001468339,0.0,0.04189078,0.033301487,,,,
0,22,2,0.0,8.7539e-05,0.0421025,0.001061297,5.6862e-05,9.0483e-05,0.0002637,0.000143189,0.0,0.00921635,0.00735477,,,,
1,0,1,0.000283441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
