sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Total Time","Self Time","Type","Why No Vectorization","Vector ISA","Compiler Estimated Gain","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Transformations","Source Location","Module"
"99","[loop in yggdrasil_decision_forests::model::decision_tree::FillExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucket<yggdrasil_decision_forests::model::decision_tree::FeatureNumericalBucket, yggdrasil_decision_forests::model::decision_tree::LabelBinaryCategoricalOneValueBucket<(bool)0>>>, (bool)0> at splitter_scanner.h:624]","0.090s","0.090s","Vectorized (Body)","","AVX","","99","2","176","14216","","splitter_scanner.h:624","ariel_rf_train"
"108","[loop in yggdrasil_decision_forests::model::decision_tree::FillExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucket<yggdrasil_decision_forests::model::decision_tree::FeatureNumericalBucket, yggdrasil_decision_forests::model::decision_tree::LabelBinaryCategoricalOneValueBucket<(bool)0>>>, (bool)0> at stl_algo.h:1799]","0.150s","0.090s","Scalar Versions","","","","15; 4","15; 4","15; 4","13723; 493","","stl_algo.h:1799","ariel_rf_train"
"100","[child]-[loop in yggdrasil_decision_forests::model::decision_tree::FillExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucket<yggdrasil_decision_forests::model::decision_tree::FeatureNumericalBucket, yggdrasil_decision_forests::model::decision_tree::LabelBinaryCategoricalOneValueBucket<(bool)0>>>, (bool)0> at stl_algo.h:1799]","0.130s","0.080s","Scalar","","","","15","15","15","13723","","stl_algo.h:1799","ariel_rf_train"
"106","[child]-[loop in yggdrasil_decision_forests::model::decision_tree::FillExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucket<yggdrasil_decision_forests::model::decision_tree::FeatureNumericalBucket, yggdrasil_decision_forests::model::decision_tree::LabelBinaryCategoricalOneValueBucket<(bool)0>>>, (bool)0> at stl_algo.h:1799]","0.020s","0.010s","Scalar","","","","4","4","4","493","","stl_algo.h:1799","ariel_rf_train"
"104","[loop in yggdrasil_decision_forests::model::decision_tree::EvaluateProjection<yggdrasil_decision_forests::model::decision_tree::ClassificationLabelStats, std::vector<int, std::allocator<int>>> at oblique.cc:361]","0.080s","0.080s","Scalar","","","","99","2","176","14216","","oblique.cc:361","ariel_rf_train"
"116","[loop in absl::lts_20240722::(anonymous namespace)::ConsumeDigits<(int)10, unsigned long> at charconv_parse.cc:266]","0.080s","0.080s","Scalar Versions","","","","4; 1","0; 1","8; 1","5320318; 635047","","charconv_parse.cc:266","ariel_rf_train"
"63","[child]-[loop in absl::lts_20240722::(anonymous namespace)::ConsumeDigits<(int)10, unsigned long> at charconv_parse.cc:266]","0.070s","0.070s","Scalar","","","","4","0","8","5320318","","charconv_parse.cc:266","ariel_rf_train"
"112","[child]-[loop in absl::lts_20240722::(anonymous namespace)::ConsumeDigits<(int)10, unsigned long> at charconv_parse.cc:266]","0.010s","0.010s","Scalar","","","","1","1","1","635047","","charconv_parse.cc:266","ariel_rf_train"
"64","[loop in absl::lts_20240722::ascii_internal::AsciiStrCaseFoldLong<(bool)0> at ascii.cc:191]","0.050s","0.050s","Vectorized (Body)","","AVX","","1","1","1","3536696","","ascii.cc:191","ariel_rf_train"
"87","[loop in yggdrasil_decision_forests::model::decision_tree::FindBestConditionSparseObliqueTemplate<yggdrasil_decision_forests::model::decision_tree::ClassificationLabelStats> at status.h]","21.870s","0.050s","Scalar","","","","1000","1000","1000","18","","status.h","ariel_rf_train"
"96","[loop in yggdrasil_decision_forests::model::decision_tree::internal::ProjectionEvaluator::Evaluate at oblique.cc:1119]","0.550s","0.050s","Scalar","","","","198","5","352","14216","","oblique.cc:1119","ariel_rf_train"
"102","[loop in yggdrasil_decision_forests::model::decision_tree::FillExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucket<yggdrasil_decision_forests::model::decision_tree::FeatureNumericalBucket, yggdrasil_decision_forests::model::decision_tree::LabelBinaryCategoricalOneValueBucket<(bool)0>>>, (bool)0> at stl_algo.h:1799]","0.030s","0.030s","Scalar","","","","0","0","4","140049","","stl_algo.h:1799","ariel_rf_train"
"82","[loop in yggdrasil_decision_forests::model::decision_tree::(anonymous namespace)::AddMinimumDepthPerPath at stl_iterator.h]","0.030s","0.020s","Scalar","","","","","","","","","stl_iterator.h","ariel_rf_train"
"57","[loop in yggdrasil_decision_forests::utils::csv::Reader::NextRow at csv.cc:109]","0.110s","0.020s","Scalar","","","","30","1","4860","387711","","csv.cc:109","ariel_rf_train"
"62","[loop in absl::lts_20240722::strings_internal::Splitter<absl::lts_20240722::ByAnyChar, absl::lts_20240722::AllowEmpty, std::basic_string_view<char, std::char_traits<char>>>::ConvertToContainer<std::vector<std::basic_string_view<char, std::char_traits<char>>, std::allocator<std::basic_string_view<char, std::char_traits<char>>>>, std::basic_string_view<char, std::char_traits<char>>, (bool)0>::operator() at str_split_internal.h:399]","0.040s","0.010s","Scalar","","","","1","1","1","888096","","str_split_internal.h:399","ariel_rf_train"
"70","[loop in yggdrasil_decision_forests::dataset::UpdateDataSpecWithCsvExample at new_allocator.h]","0.110s","0.010s","Scalar","","","","2524","2524","2524","352","","new_allocator.h","ariel_rf_train"
"114","[loop in __intel_avx_rep_memcpy]","0.010s","0.010s","Vectorized (Body)","","AVX","","","","","","","","ariel_rf_train"
"115","[loop in yggdrasil_decision_forests::model::decision_tree::FillExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucketSet<yggdrasil_decision_forests::model::decision_tree::ExampleBucket<yggdrasil_decision_forests::model::decision_tree::FeatureNumericalBucket, yggdrasil_decision_forests::model::decision_tree::LabelBinaryCategoricalOneValueBucket<(bool)0>>>, (bool)0> at stl_algo.h:1799]","0.010s","0.010s","Scalar","","","","0","0","1","715","","stl_algo.h:1799","ariel_rf_train"
"84","[loop in yggdrasil_decision_forests::model::decision_tree::(anonymous namespace)::AddMinimumDepthPerPath at stl_algobase.h:2070]","0.010s","0.010s","Scalar","","","","","","","","","stl_algobase.h:2070","ariel_rf_train"
"56","[loop in yggdrasil_decision_forests::dataset::CsvDataSpecCreator::InferColumnsAndTypes at csv_example_reader.cc:175]","0.380s","0s","Scalar","","","","1","1","1","1","","csv_example_reader.cc:175","ariel_rf_train"
"109","[loop in yggdrasil_decision_forests::dataset::InitializeDataSpecFromColumnNames at status.h]","0.010s","0s","Scalar","","","","2524","2524","2524","1","","status.h","ariel_rf_train"
"110","[loop in yggdrasil_decision_forests::dataset::BuildColumnGuide at data_spec_inference.cc:718]","0.010s","0s","Scalar","","","","1","1","1","2525","","data_spec_inference.cc:718","ariel_rf_train"
"59","[loop in yggdrasil_decision_forests::dataset::CsvDataSpecCreator::InferColumnsAndTypes at csv_example_reader.cc:229]","0.310s","0s","Scalar","","","","2524","2524","2524","352","","csv_example_reader.cc:229","ariel_rf_train"
"55","[loop in yggdrasil_decision_forests::dataset::CsvDataSpecCreator::InferColumnsAndTypes at csv_example_reader.cc:229]","0.370s","0s","Scalar","","","","","","","","","csv_example_reader.cc:229","ariel_rf_train"
"61","[loop in std::basic_string_view<char, std::char_traits<char>>::find_first_of at string_view.tcc:138]","0.060s","0s","Scalar","","","","8","1","11","888096","","string_view.tcc:138","ariel_rf_train"
"58","[loop in yggdrasil_decision_forests::utils::csv::Reader::NextRow at csv.cc:62]","0.120s","0s","Scalar","","","","1","1","1","2610","","csv.cc:62","ariel_rf_train"
"111","[loop in yggdrasil_decision_forests::dataset::Tokenize at new_allocator.h]","0.010s","0s","Scalar","","","","1","1","1","888096","","new_allocator.h","ariel_rf_train"
"69","[loop in yggdrasil_decision_forests::dataset::CsvDataSpecCreator::ComputeColumnStatistics at csv_example_reader.cc:297]","0.170s","0s","Scalar","","","","","","","","","csv_example_reader.cc:297","ariel_rf_train"
"66","[loop in yggdrasil_decision_forests::dataset::CsvDataSpecCreator::ComputeColumnStatistics at csv_example_reader.cc:260]","0.170s","0s","Scalar","","","","1","1","1","1","","csv_example_reader.cc:260","ariel_rf_train"
"71","[loop in std::_Destroy_aux<(bool)0>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>*> at stl_construct.h:162]","0.010s","0s","Scalar","","","","5048","5048","5048","352","","stl_construct.h:162","ariel_rf_train"
"72","[loop in std::__do_uninit_copy<__gnu_cxx::__normal_iterator<std::basic_string_view<char, std::char_traits<char>>*, std::vector<std::basic_string_view<char, std::char_traits<char>>, std::allocator<std::basic_string_view<char, std::char_traits<char>>>>>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>*> at stl_uninitialized.h:119]","0.020s","0s","Scalar","","","","2524","2524","2524","707","","stl_uninitialized.h:119","ariel_rf_train"
"67","[loop in yggdrasil_decision_forests::dataset::BuildColIdxToFeatureLabelIdx at data_spec.cc:177]","0.010s","0s","Scalar","","","","2524","2524","2524","2","","data_spec.cc:177","ariel_rf_train"
"68","[loop in std::__find_if<__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>>>, __gnu_cxx::__ops::_Iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const>> at basic_string.h:223]","0.010s","0s","Scalar","","","","315","0","630","5048","","basic_string.h:223","ariel_rf_train"
"73","[loop in yggdrasil_decision_forests::dataset::LoadVerticalDataset at vertical_dataset_io.cc:73]","0.170s","0s","Scalar","","","","353","353","353","1","","vertical_dataset_io.cc:73","ariel_rf_train"
