0 [139758456265792] INFO perfrun.launcher <> - Launcher main begin
1 [139758456265792] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [139758456265792] INFO perfrun.launcher <> - Launcher instance created
1 [139758456265792] INFO perfrun.launcher <> - argc = 6; cmdline = /home/ariel/intel/oneapi/advisor/2025.1/bin64/advixe-runss --ui-output-format xml --ui-output-fd 215 --context-value-list 
22 [139758456265792] INFO perfrun.launcher <> - create msngr2::ICliToolContext
23 [139758456265792] INFO perfrun.launcher <> - create file finder object
24 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
24 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
24 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 167
24 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
24 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
24 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = false
24 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
25 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
25 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
25 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
25 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = true
25 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
26 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
26 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
26 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
26 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
26 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
27 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
27 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
27 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
27 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
27 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 5.15.167.4-microsoft-standard-WSL2
28 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
28 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
28 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
28 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
28 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = Microsoft Hv
28 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 0
29 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
29 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
29 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
29 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
29 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
29 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPDriverAvailable; value = false
30 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPMICDriverAvailable; value = false
30 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isNMIWatchDogTimerRunning; value = false
30 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU_NAME; value = Unknown
30 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU; value = Unknown
30 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PMU; value = Unknown
30 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = platformType; value = 0
31 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = referenceFrequency; value = 3072000000
31 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
31 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
31 [139758456265792] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
31 [139758456265792] INFO perfrun.launcher <> - Application exit code: 0
31 [139758456265792] INFO perfrun.launcher <> - Exit code: 0
