0 [140091553119296] INFO perfrun.launcher <> - Launcher main begin
1 [140091553119296] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [140091553119296] INFO perfrun.launcher <> - Launcher instance created
1 [140091553119296] INFO perfrun.launcher <> - argc = 6; cmdline = /home/ariel/intel/oneapi/advisor/2025.1/bin64/advixe-runss --ui-output-format xml --ui-output-fd 205 --context-value-list 
26 [140091553119296] INFO perfrun.launcher <> - create msngr2::ICliToolContext
26 [140091553119296] INFO perfrun.launcher <> - create file finder object
27 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
27 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
27 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 167
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = false
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = true
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
28 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
29 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
29 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
29 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
29 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
29 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
30 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
30 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
30 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 5.15.167.4-microsoft-standard-WSL2
30 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
30 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
30 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
30 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
30 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = Microsoft Hv
30 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 0
30 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPDriverAvailable; value = false
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPMICDriverAvailable; value = false
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isNMIWatchDogTimerRunning; value = false
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU_NAME; value = Unknown
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU; value = Unknown
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PMU; value = Unknown
31 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = platformType; value = 0
32 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = referenceFrequency; value = 3072000000
32 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
32 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
32 [140091553119296] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
32 [140091553119296] INFO perfrun.launcher <> - Application exit code: 0
32 [140091553119296] INFO perfrun.launcher <> - Exit code: 0
