YDF RNG-generated,d variable,nnz=3,trees=50,7 repeats,-1 depth,<CPU>
n,128,256,512,1024,2048,4096
128,1.5423,1.5077,1.5686,1.5876,1.6529,1.8628
256,4.3478,4.3009,4.2872,4.3919,4.5411,4.9315
512,11.7793,11.6051,11.7456,11.5663,12.0906,13.0443
1024,32.1504,31.0790,30.8003,31.4820,31.6983,34.2111
