YDF RNG-generated,d variable,nnz=3,trees=50,7 repeats,-1 depth,<CPU>
n,128,256,512,1024,2048,4096
128,0.0295,0.0135,0.0197,0.0176,0.0134,0.0270
256,0.0765,0.0508,0.0331,0.0676,0.0779,0.0884
512,0.1431,0.2333,0.1996,0.1947,0.3260,0.2771
1024,0.6138,0.5351,0.7398,0.5422,0.7078,0.5286
