YDF RNG-generated,d variable,nnz=3,trees=50,7 repeats,-1 depth,<CPU>
n,128,256,512,1024,2048,4096
128,0.0095,0.0050,0.0081,0.0033,0.0061,0.0153
256,0.0194,0.0146,0.0476,0.0655,0.0615,0.1671
512,0.0790,0.0765,0.0390,0.0241,0.0505,0.0523
1024,0.1953,0.1262,0.1782,0.1566,0.1748,0.1371
