YDF RNG-generated,d variable,nnz=3,trees=50,7 repeats,-1 depth,<CPU>
n,128,256,512,1024,2048,4096
128,0.2774,0.2772,0.2848,0.2921,0.3071,0.3531
256,0.7756,0.7669,0.8056,0.8585,0.9038,1.1076
512,2.1457,2.1156,2.1011,2.1444,2.1841,2.4177
1024,5.7778,5.5763,5.9005,5.8554,5.9015,6.3715
