tree,depth,nodes,Selecting Bootstrapped Samples,Initialization of FindBestCondOblique,SampleProjection,ApplyProjection,Bucket Allocation & Initialization=0,Filling & Finalizing the Buckets,SortFeature,ScanSplits,Post-processing after Training all Trees,EvaluateProjection,FillExampleBucketSet (next 3 calls),,  ,Parameter,Value
0,0,1,0.000103977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rows,524288
0,1,1,0.0,5.4159e-05,0.000463783,0.00175768,2.7102e-05,0.000466759,0.015638259,0.006439262,0.0,0.0249142,0.017360848,,,cols,1024
0,2,2,0.0,6.554799999999999e-05,0.000803688,0.001880942,5.2953e-05,0.000508252,0.014150785,0.006236127,0.0,0.025332379999999998,0.017081551,,,num_trees,20
0,3,4,0.0,0.00011342600000000001,0.001450799,0.00214012,0.000108048,0.000562179,0.013105233,0.005949875,0.0,0.028137330000000002,0.018449721999999998,,,tree_depth,-1
0,4,6,0.0,0.00017122,0.002096665,0.002243172,0.00015985900000000002,0.000607814,0.011167734,0.004471535,0.0,0.02858904,0.018703694,,,proj_density_factor,3
0,5,8,0.0,0.000214758,0.002713149,0.00179409,0.000210449,0.000501363,0.005693511,0.002352373,0.0,0.024633540000000002,0.015385547,,,max_projections,1000
0,6,2,0.0,5.3564e-05,0.0006875,0.000469266,5.2518e-05,0.00012158,0.001376036,0.000865789,0.0,0.00646407,0.003814692,,,num_threads,1
0,7,4,0.0,0.000102354,0.0013334269999999999,0.000618332,0.000104827,0.000178539,0.001165658,0.000467077,0.0,0.00971673,0.005906245,,,sort_method,SortFeature
1,0,1,1.943e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,cpu_model,Intel(R)_Core(TM)_Ultra_9_185H
1,1,1,0.0,2.6103e-05,0.000442043,0.00171049,2.6774e-05,0.000467038,0.015652195,0.006573241,0.0,0.0250367,0.017353422,,,repeat_index,1
1,2,2,0.0,5.4751999999999993e-05,0.000801141,0.001881606,5.2536e-05,0.000512449,0.014100209,0.006493438,0.0,0.0255771,0.017068434,,,,
1,3,4,0.0,0.00010639,0.00146834,0.002119955,0.000104558,0.000571288,0.012979903,0.006166753,0.0,0.02815753,0.018280846,,,,
1,4,6,0.0,0.000161406,0.002076824,0.0021777510000000003,0.000159776,0.000587645,0.0117568,0.005584024,0.0,0.03032988,0.019374537,,,,
1,5,6,0.0,0.000159274,0.002064682,0.002043777,0.000162057,0.000564927,0.010905822,0.00459251,0.0,0.0283204,0.018425952,,,,
1,6,2,0.0,5.5036e-05,0.00074998,0.0012300610000000002,5.383e-05,0.000333084,0.008517699,0.00349206,0.0,0.01675181,0.011279892,,,,
1,7,2,0.0,5.9672e-05,0.00072182,0.0011909499999999999,5.2393e-05,0.000320449,0.008089358,0.001883703,0.0,0.01447542,0.01078524,,,,
2,0,1,1.9697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,1,1,0.0,2.4748e-05,0.000418494,0.00172018,2.6631e-05,0.000469415,0.015778258,0.006579728,0.0,0.025252,0.017523861,,,,
2,2,2,0.0,5.8472000000000005e-05,0.0007788000000000001,0.0019175639999999999,5.2573e-05,0.000507682,0.015225362,0.006600165,0.0,0.02684816,0.018195491,,,,
2,3,4,0.0,0.000119504,0.00148525,0.002176017,0.000107556,0.000573584,0.013808246,0.006213579,0.0,0.02939606,0.019371949,,,,
