1 [139648284429376] INFO perfrun.launcher <> - Launcher main begin
1 [139648284429376] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [139648284429376] INFO perfrun.launcher <> - Launcher instance created
1 [139648284429376] INFO perfrun.launcher <> - argc = 6; cmdline = /home/ariel/intel/oneapi/advisor/2025.1/bin64/advixe-runss --ui-output-format xml --ui-output-fd 193 --context-value-list 
45 [139648284429376] INFO perfrun.launcher <> - create msngr2::ICliToolContext
45 [139648284429376] INFO perfrun.launcher <> - create file finder object
47 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
48 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
48 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 167
48 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
49 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
50 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = false
50 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
50 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
51 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
51 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
51 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = true
52 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
52 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
53 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
53 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
53 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
53 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
54 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
55 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
55 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
56 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
57 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 5.15.167.4-microsoft-standard-WSL2
58 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
58 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
59 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
59 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
60 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = Microsoft Hv
60 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 0
61 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
61 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
62 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
62 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
63 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
63 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPDriverAvailable; value = false
63 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPMICDriverAvailable; value = false
64 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isNMIWatchDogTimerRunning; value = false
64 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU_NAME; value = Unknown
64 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU; value = Unknown
65 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PMU; value = Unknown
66 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = platformType; value = 0
66 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = referenceFrequency; value = 3072000000
67 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
67 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
68 [139648284429376] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
69 [139648284429376] INFO perfrun.launcher <> - Application exit code: 0
69 [139648284429376] INFO perfrun.launcher <> - Exit code: 0
