YDF Fisher-Yates,per-proj. nnz=3,trees=50,7 repeats,-1 depth,Intel(R) Core(TM) Ultra 9 185H,1 thread(s)
n,128,256,512,1024,2048,4096
128,1.9557,1.9640,1.9589,2.0157,2.0799,2.2775
256,5.5620,5.5055,5.5285,5.5917,5.8295,6.2168
512,15.3090,15.1191,14.9082,15.1513,15.5883,16.5998
1024,41.4277,40.0492,39.9567,41.2711,41.9024,43.3442
