YDF Fisher-Yates,per-proj. nnz=3,trees=50,5 repeats,-1 depth,Intel(R) Core(TM) Ultra 9 185H,1 thread(s)
n,128,256,512,1024,,,,,,128_std,256_std,512_std,1024_std
128,0.3947,0.4976,0.6648,0.8807,,,,,,0.0057,0.0071,0.0068,0.0035
256,0.7885,0.9900,1.3401,1.7868,,,,,,0.0115,0.0101,0.0044,0.0108
512,1.5900,2.0084,2.7219,3.6403,,,,,,0.0049,0.0260,0.0195,0.0638
1024,3.2562,4.1405,5.5531,7.4960,,,,,,0.0172,0.0120,0.0411,0.0244
