YDF Fisher-Yates,per-proj. nnz=3,trees=50,5 repeats,-1 depth,Intel(R) Core(TM) Ultra 9 185H,1 thread(s)
n,128,256,512,1024,,,,,,128_std,256_std,512_std,1024_std
128,0.0326,0.0446,0.0668,0.1085,,,,,,0.0014,0.0007,0.0021,0.0034
256,0.0646,0.0918,0.1405,0.2284,,,,,,0.0019,0.0015,0.0019,0.0030
512,0.1440,0.2069,0.3137,0.4995,,,,,,0.0023,0.0038,0.0019,0.0064
1024,0.3461,0.4894,0.7455,1.1693,,,,,,0.0050,0.0062,0.0104,0.0085
