tree,depth,Selecting Bootstrapped Samples,Initialization of FindBestCondOblique,SampleProjection,ApplyProjection,Bucket Allocation & Initialization=0,Filling & Finalizing the Buckets,SortFeature,ScanSplits,Post-processing after Training all Trees,EvaluateProjection,FillExampleBucketSet (next 3 calls),,  ,Parameter,Value
0,0,0.000337109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rows,4096
0,1,0.0,0.000108404,0.00202135,0.0299134,5.5578e-05,0.007249835,0.366482432,0.121086561,0.0,0.503142,0.377157109,,,cols,4096
0,2,0.0,0.00019522299999999998,0.003555279,0.036592,8.0802e-05,0.008062142,0.359838823,0.131792574,0.0,0.510096,0.372436777,,,num_trees,10
0,3,0.0,0.00022889900000000002,0.004752126000000001,0.033940643,0.000124862,0.006990802,0.308157572,0.110822571,0.0,0.44211245,0.322936804,,,tree_depth,-1
0,4,0.0,0.000377945,0.005317055,0.034461537,0.000171146,0.006503166,0.282523299,0.100618743,0.0,0.40935904999999995,0.299234144,,,proj_density_factor,3
0,5,0.0,0.000533363,0.011489697,0.049893808,0.000364151,0.008307973,0.325185185,0.12571558,0.0,0.49831327000000003,0.354601485,,,max_projections,1000
0,6,0.0,0.001052764,0.016306772,0.062541336,0.00043816,0.007762671,0.276476005,0.112983944,0.0,0.43919048,0.308275453,,,num_threads,1
0,7,0.0,0.001091172,0.016671729,0.049073014,0.0006347740000000001,0.005894253,0.191160187,0.074425156,0.0,0.32282303,0.225575773,,,sort_method,SortFeature
0,8,0.0,0.001253458,0.019230665,0.055035385,0.000764727,0.00579062,0.167983653,0.069391887,0.0,0.30296332,0.207314803,,,cpu_model,Intel(R)_Core(TM)_Ultra_9_185H
0,9,0.0,0.001718194,0.031522996,0.075363647,0.001009947,0.007423562,0.20046427,0.091696797,0.0,0.39804303,0.264247076,,,repeat_index,1
0,10,0.0,0.002543641,0.044957655,0.089735485,0.001396327,0.008278846,0.197566506,0.096361712,0.0,0.43455245000000003,0.282323478,,,,
0,11,0.0,0.0029967460000000002,0.052613758000000004,0.086751197,0.001672789,0.007505757,0.159825324,0.078392873,0.0,0.407682,0.261106309,,,,
0,12,0.0,0.003484339,0.054690662,0.074634797,0.001818749,0.006841979,0.125063631,0.057889209,0.0,0.36485183,0.236616371,,,,
0,13,0.0,0.002689408,0.044559164,0.065804907,0.001496246,0.005762074,0.114077666,0.056846023,0.0,0.32289185,0.204963017,,,,
0,14,0.0,0.002873605,0.048231891,0.057547183,0.001388775,0.005124073,0.09604783,0.049429333,0.0,0.27698575000000003,0.174668427,,,,
0,15,0.0,0.002594989,0.040702742,0.05594859,0.0012994,0.004536205,0.078177658,0.040903641,0.0,0.23933431000000002,0.150030086,,,,
0,16,0.0,0.002182335,0.034571241,0.043378478,0.001085526,0.003282115,0.048068168,0.024595337,0.0,0.17663327,0.11108762,,,,
0,17,0.0,0.0018623440000000002,0.027924678,0.031510921,0.000975066,0.00257847,0.032448753,0.014968724,0.0,0.13533426,0.085309523,,,,
0,18,0.0,0.00099748,0.015267844000000001,0.015732245,0.000529111,0.001348563,0.016268196,0.006519922,0.0,0.06749497,0.04285885,,,,
0,19,0.0,0.000576958,0.008189361,0.0062945219999999994,0.000282854,0.000604978,0.005828267,0.003059624,0.0,0.03251301,0.020003086,,,,
0,20,0.0,0.000170184,0.00255888,0.0035891939999999995,0.00010443900000000001,0.000308676,0.004102176,0.002257694,0.0,0.014836160000000001,0.009132178,,,,
0,21,0.0,0.000162828,0.002668086,0.003606419,0.000105154,0.000273663,0.003118778,0.001683119,0.0,0.01346439,0.008181456,,,,
0,22,0.0,0.000230946,0.003705133,0.002924635,0.000156407,0.000291303,0.001638866,0.000782048,0.0,0.01476645,0.008908517,,,,
0,23,0.0,7.459200000000001e-05,0.001201635,0.0007056759999999999,5.2569e-05,8.3304e-05,0.000276376,0.000140961,0.0,0.00452843,0.002669664,,,,
1,0,0.000299344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1,1,0.0,8.2433e-05,0.00189684,0.0304596,9.4036e-05,0.00730127,0.373928074,0.123669322,0.0,0.514316,0.385649217,,,,
1,2,0.0,0.000299657,0.005690772,0.054065310000000005,9.7672e-05,0.012979379,0.623929667,0.230121577,0.0,0.8903667,0.64892337,,,,
1,3,0.0,0.000386963,0.004533425,0.03350379,0.000118459,0.007564664,0.358231717,0.119323033,0.0,0.50111183,0.373400661,,,,
1,4,0.0,0.000402665,0.006413273000000001,0.03235283,0.000218266,0.006349569,0.28812567,0.095441005,0.0,0.41138869,0.305463693,,,,
1,5,0.0,0.000733253,0.009742677,0.056974298,0.000307338,0.012200463,0.5331087,0.202694995,0.0,0.78784341,0.567411126,,,,
1,6,0.0,0.000692528,0.014030013000000001,0.057379736,0.000336774,0.011120581,0.461163551,0.185195591,0.0,0.69795195,0.494135624,,,,
1,7,0.0,0.001102285,0.017381610999999998,0.06736303,0.000456129,0.010925666,0.43030416,0.178552482,0.0,0.6804759499999999,0.475648981,,,,
1,8,0.0,0.001726104,0.030936374,0.080964521,0.000759301,0.011355181,0.397254296,0.176359322,0.0,0.67821073,0.461080814,,,,
1,9,0.0,0.002427721,0.036487404,0.073166453,0.001018802,0.007234236,0.210834626,0.0896935,0.0,0.4080588,0.276710629,,,,
1,10,0.0,0.00256568,0.040782883,0.087407437,0.001106187,0.00836102,0.233825369,0.109135389,0.0,0.48056618,0.318557752,,,,
1,11,0.0,0.003259688,0.046849291,0.082315106,0.001363844,0.007746869,0.197168929,0.093676422,0.0,0.44478125,0.291005391,,,,
1,12,0.0,0.003357801,0.051017763,0.079401115,0.001616211,0.00787841,0.179927227,0.084402622,0.0,0.42668554000000003,0.279310715,,,,
1,13,0.0,0.003527907,0.054984026,0.073853663,0.001704765,0.00732714,0.149575923,0.068845709,0.0,0.38713549,0.252249994,,,,
1,14,0.0,0.002506965,0.039012078,0.053493597,0.001242295,0.005397102,0.11625925,0.054987958,0.0,0.28468293,0.183537012,,,,
1,15,0.0,0.002220421,0.036046555,0.050766344,0.001117579,0.004479343,0.088885623,0.045454075,0.0,0.24480422,0.156125782,,,,
1,16,0.0,0.001598274,0.023901079,0.04447144,0.000954147,0.003450065,0.064993951,0.033901362,0.0,0.17436661,0.110273679,,,,
1,17,0.0,0.002566911,0.041258273,0.051164158,0.001308495,0.004083938,0.060263974,0.031597025,0.0,0.22153333,0.137512291,,,,
1,18,0.0,0.002664615,0.040891263,0.042404506,0.001385222,0.003457962,0.041835136,0.022741137,0.0,0.19265193,0.119666726,,,,
1,19,0.0,0.0017523880000000001,0.027232459,0.031299025,0.00085489,0.00227205,0.027827489,0.015659862,0.0,0.12668933,0.078089344,,,,
1,20,0.0,0.001526391,0.022510775,0.022649719,0.000715188,0.001795938,0.020229846,0.009497249,0.0,0.09837024999999999,0.061094458,,,,
1,21,0.0,0.000987361,0.014177411,0.01127435,0.000493221,0.000955786,0.006285529,0.003473218,0.0,0.05187727,0.031568035,,,,
1,22,0.0,0.000565664,0.008523836,0.005134669,0.000283127,0.000526414,0.002135904,0.000882848,0.0,0.02731161,0.016969644,,,,
2,0,0.000286538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,1,0.0,5.0286e-05,0.00123255,0.0212914,2.9279000000000002e-05,0.005091633,0.26324186,0.076794527,0.0,0.350014,0.269839952,,,,
2,2,0.0,0.000115942,0.002093594,0.02389609,5.5122e-05,0.005106606,0.250838007,0.07681337,0.0,0.34,0.258806686,,,,
2,3,0.0,0.000226083,0.004915135,0.04186622,0.000131386,0.008748989,0.388406472,0.15549976,0.0,0.5723036,0.407149678,,,,
2,4,0.0,0.000685345,0.016055857,0.056164188000000004,0.00029823,0.007858987,0.3056323,0.130645278,0.0,0.48883920999999997,0.337765772,,,,
2,5,0.0,0.00151082,0.027417678,0.06568972099999999,0.000611595,0.008363489,0.285636638,0.128429478,0.0,0.49502564,0.336325004,,,,
